Entity,Year,Annual CO2 emissions,GDP per capita,Population,per_capita_CO2,per_gdp_CO2,Annual nitrous oxide emissions,Annual methane emissions,Annual greenhouse gas emissions,CO2 emissions %,CO2 % from greenhouse emissions
Brazil,1956,36608456.0,2672.0,64644890,0.5663008475998644,0.21193893997000915,34252640.0,126666760.0,899159400.0,0.4619798989254886,4.071408918151776
Brazil,1957,35974080.0,2793.0,66660892,0.5396579451712107,0.19321802548199454,36403864.0,130694860.0,944092400.0,0.4394829081062023,3.810440588230559
Brazil,1958,39053930.0,3005.0,68735930,0.5681734429140626,0.1890760209364601,38408210.0,134980720.0,1008911000.0,0.46395431775047213,3.870899415310171
Brazil,1959,39017080.0,3201.0,70880824,0.5504603050325713,0.1719651062269826,40166960.0,139322850.0,1054326340.0,0.4405612732563923,3.7006644451280617
Brazil,1960,46851820.0,3398.0,73092520,0.6409933601960912,0.18863842265923814,41581420.0,144084930.0,1153745500.0,0.4990783653618769,4.060845307739012
Brazil,1961,49123428.0,3585.0,75330010,0.6521096705018359,0.18189948967973107,44679704.0,151435070.0,1229962600.0,0.5215653939179017,3.993896074563568
Brazil,1962,53586084.0,3711.0,77599224,0.6905492250798797,0.18608170980325509,45958760.0,156606030.0,1288495100.0,0.5495411729126037,4.15881162450676
Brazil,1963,55481404.0,3623.0,79915560,0.6942503312246076,0.19162305581689418,47552030.0,162687970.0,1327231100.0,0.5401408439049014,4.180236885648625
Brazil,1964,56566084.0,3637.0,82262800,0.6876265334999538,0.18906421047565405,48990040.0,168912030.0,1356764900.0,0.5223278913408901,4.16918833911461
Brazil,1965,56204020.0,3617.0,84623750,0.6641636656376018,0.1836227994574514,50879230.0,175345900.0,1333923800.0,0.4966074067319597,4.213435580053374
Brazil,1966,64065332.0,3747.0,86979290,0.7365584612153077,0.196572847935764,52237170.0,179880220.0,1331885600.0,0.5398642766416563,4.810122731261604
Brazil,1967,65912536.0,3795.0,89323290,0.7379098553132112,0.1944426496213995,54067650.0,185584060.0,1330556000.0,0.5383239128231402,4.953758879746513
Brazil,1968,77068260.0,4050.0,91659250,0.8408126839353366,0.20760807010749052,55976470.0,191532450.0,1343596700.0,0.5969243643274221,5.735966752523283
Brazil,1969,83899910.0,4313.0,94000380,0.8925486258672571,0.20694380381805175,57924028.0,197961940.0,1352185700.0,0.6094100715327616,6.2047624080035755
Brazil,1970,93247170.0,4635.0,96369890,0.9675965179580469,0.20875868780108886,60695412.0,208454670.0,1369667500.0,0.6258738672513793,6.808015083952858
Brazil,1971,102074600.0,5024.0,98766290,1.033496347792349,0.20571185266567457,59263148.0,213195520.0,1374817500.0,0.6583123816226195,7.424592718669933
Brazil,1972,113714104.0,5480.0,101194390,1.1237194472934715,0.20505829330172837,64242936.0,224882540.0,1400742100.0,0.7006962590418351,8.118132809744207
Brazil,1973,131702070.0,6086.0,103666904,1.2704350657563768,0.20874713535267447,64045160.0,230016980.0,1426011800.0,0.7708098714084599,9.23569286032556
Brazil,1974,142616240.0,6416.0,106167380,1.3433150559051188,0.2093695536011719,70484020.0,243432140.0,1477603700.0,0.8380575356768536,9.65185996759483
Brazil,1975,149878460.0,6582.0,108700510,1.3788202097671851,0.20948347155381117,74506900.0,253538540.0,1555652900.0,0.8788140602547332,9.634440947591843
Brazil,1976,154094370.0,7079.0,111286504,1.3846635886773835,0.19560158054490515,80822860.0,272258940.0,1613911800.0,0.8564658615296995,9.547880497558788
Brazil,1977,161797820.0,7248.0,113939890,1.4200278761020395,0.19591996083085533,80857380.0,279903070.0,1647845900.0,0.8744482875769489,9.818747007836109
Brazil,1978,176474290.0,7425.0,116664380,1.5126664196903974,0.20372611713001984,82582424.0,283559900.0,1692184400.0,0.9250537054872955,10.428786011737255
Brazil,1979,187111920.0,7736.0,119447304,1.5664808977187128,0.2024923600980756,85420056.0,293159400.0,1699699300.0,0.9537541776970918,11.00853074423223
Brazil,1980,185471120.0,8249.0,122288380,1.516670022123116,0.18386107675149907,91683520.0,317545340.0,1707371300.0,0.951072348493531,10.862963433905676
Brazil,1981,170613970.0,7709.0,125168060,1.363079127374827,0.17681659454855717,89566056.0,321330100.0,1699628500.0,0.8962645585756801,10.038309548233629
Brazil,1982,170811520.0,7587.0,128065100,1.3337866444487998,0.17579895142332935,90761460.0,328263460.0,1713414300.0,0.9045070697446004,9.969072862296061
Brazil,1983,165348850.0,7203.0,130977380,1.2624229466187216,0.17526349390791635,89872540.0,331751780.0,1693037000.0,0.8699576566802795,9.76640498701446
